,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species 
1379,10-May-2007,2007.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,21,Knee bitten,N,16h00,4' to 5' shark
1382,07-May-2007,2007.0,Unprovoked,USA,Hawaii,"Keawakapu Beach, Maui",Snorkeling,F,63,Right foot bitten,N,08h30,"Tiger shark, 14' "
1383,07-May-2007,2007.0,Unprovoked,USA,Florida,Naples,Swimming,M,68,Circular bite on left thigh,N,08h30,6' to 8' shark
1387,22-Apr-2007,2007.0,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Body boarding,M,12,Left foot bitten,N,12h30,blacktip or spinner shark
1388,20-Apr-2007,2007.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to left index finger & thumb ,N,17h00,3' to 4' shark
1389,Reported      13-Apr-2007,2007.0,Boat,USA,Florida,"Florida Keys, Monroe County",Fishing,,,"No injury to occupants, shark holed the transom-mounted livewell ",N,,"Bull shark, 10' "
1391,01-Apr-2007,2007.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Playing on a sandbar,M,7,Lacerations & puncture wounds to right calf,N,13h05,
1392,31-Mar-2007,2007.0,Unprovoked,USA,Florida,"Normandy Beach, Hutchinson Island,  St. Lucie County",Surfing,M,27,Lacerations to right ankle ,N,14h20,3' shark
1393,31-Mar-2007,2007.0,Unprovoked,USA,Florida,"Waveland Beach, Hutchinson Island, St. Lucie County",,M,9,Minor cuts to right buttock & thigh,N,13h20,
1395,21-Mar-2007,2007.0,Unprovoked,USA,Florida,Jupiter Inlet,Surfing,M,11,Punctures & lacerations to right calf & calf,N,Evening,4' to 5' shark
1397,Reported 14-Mar-2007,2007.0,Provoked,USA,Florida,Delray Beach,Shark fishing,M,,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,5' shark
1399,11-Mar-2007,2007.0,Unprovoked,USA,Florida,"Tiger Shores Beach, Martin County",Surfing,M,29,Lacerations to right forearm & hand,N,13h00,
1405,25-Jan-2007,2007.0,Boat,USA,Florida,100 miles off Ft. Myers Beach,Shrimping,,,"A large shark rammed boat, breaking prop shaft. No injury to occupants but boat sank several hours later",N,03h30,14' shark
1410,07-Jan-2007,2007.0,Invalid,USA,New York,"Smith Point, Long Island",Surfing,M,54,No injury,Unknown,14h00,"24"" to 30"" shark"
1411,01-Jan-2007,2007.0,Unprovoked,USA,Hawaii,"Majors Bay, Kaua'i",Surfing,M,24,"No injury, shark removed piece of surfboard",N,10h15,"6' to 8' shark, possibly a tiger shark"
1414,10-Dec-2006,2006.0,Unprovoked,USA,California,"Dillon Beach, Marin County",Surfing,M,43,"Minor injuries, surfboard bitten",N,11h50,"White shark, 12' to 15' "
1418,11-Nov-2006,2006.0,Unprovoked,USA,Hawaii,"Kihei, Maui",Swimming,M,29,Laceration to left thigh & left hand,N,12h30,2 m to 3 m shark
1420,31-Oct-2006,2006.0,Unprovoked,USA,Oregon,"Siletz River mouth, Lincoln County",Surfing,M,22,"No injury, surfboard bitten",N,Just before sundown,"White shark, 16' "
1421,16-Oct-2006,2006.0,Unprovoked,USA,Florida,Sebastian Inlet,Fishing,M,15,Lower right leg and foot bitten,N,,
1422,10-Oct-2006,2006.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,20,Left ankle bitten,N,11h30,
1423,07-Oct-2006,2006.0,Unprovoked,USA,Texas,"Isla Blanca Park, South Padre Island",Surfing,M,,Lacerations to lower left leg,N,,1' to 4' shark
1424,05-Oct-2006,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Playing soccer in the water,M,18,Lacerations to foot,N,12h00,3' to 3.5' shark
1428,29-Sep-2006,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Big toe bitten,N,,
1429,Reported 18-Sep-2006,2006.0,Provoked,USA,Florida,"Off Key Largo, Monroe County",Diving / Kissing the shark,M,,Lacerations to upper lip    PROVOKED INCIDENT,N,,Nurse shark
1430,16-Sep-2006,2006.0,Unprovoked,USA,North Carolina,Onslow Beach,Surfing,M,16,Laceration to left thigh,N,Morning,
1431,14-Sep-2006,2006.0,Unprovoked,USA,Florida,"Singer Island, Riviera Beach",Swimming,M,55,Minor injury to left hand,N,14h00,Spinner shark
1432,11-Sep-2006,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,52,Left torso grazed,N,,5' shark
1435,03-Sep-2006,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,33,Puncture wounds and cuts to right thigh,N,17h30,3' shark
1436,02-Sep-2006,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,12 or 13,Arm bitten,N,17h55,
1438,29-Aug-2006,2006.0,Unprovoked,USA,Oregon,"Florence, Lane County",Surfing,M,23,Laceration & puncture wounds to foot,N,Sunset,
1447,Aug-2006,2006.0,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",Wading,F,59,Lacerations & punctures to left foot,N,12h00,
1449,31-Jul-2006,2006.0,Provoked,USA,Kentucky,"Newport Aquarium, Newport",Touching sharks,,,"Minor injuries, similar to paper cuts from the captive sharks  PROVOKED INCIDENTS",N,,small catsharks
1450,31-Jul-2006,2006.0,Unprovoked,USA,Oregon,Oswald State Park,Surfing,M,41,Minor injury,N,16h00,White shark?
1451,29-Jul-2006,2006.0,Invalid,USA,California,"Broad Beach, Malibu, Los Angeles County",Boogie Boarding,M,,"Bruises, laceration to head, spinal cord injury & neck broken at C5/C6 ",N,Afternoon,"Thought to involve a mako shark, but possibly a sea lion"
1452,29-Jul-2006,2006.0,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,15,Foot bitten,N,,
1454,25-Jul-2006,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Minor lacerations to right foot,N,13h45, 
1455,23-Jul-2006,2006.0,Unprovoked,USA,Texas,"Sargent Beach, Matagorda County",Surf fishing,M,,Right foot bitten,N,,"Bull shark, 4' to 5' "
1457,17-Jul-2006,2006.0,Unprovoked,USA,South Carolina,"Singleton Beach, Hilton Head Island, Beaufort County",Standing,M,49,Left ankle & foot bitten,N,10h00,"Angel shark, 1.2m "
1459,12-Jul-2006,2006.0,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,F,21,Ankle & foot bitten,N,13h30,
1461,09-Jul-2006,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,40,Dorsum of left foot bitten,N,17h00,
1462,09-Jul-2006.,2006.0,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",Walking,M,11,Lower leg & ankle bitten,N,13h00,
1463,08-Jul-2006,2006.0,Unprovoked,USA,South Carolina,"Debordieu Beach, Georgetown County",Body boarding,F,14,Foot bitten,N,11h00,5' to 6' spinner or bull shark
1464,08-Jul-2006,2006.0,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Swimming,M,13,Right calf bitten,N,13h00,
1465,July 2006,2006.0,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Spearfishing,F,28,Lacerations & puncture wound  to arm,N,,"1.8 m blacktip ""reef"" shark"
1466,July 2006,2006.0,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Spearfishing,M,35,Minor injuries,N,,"1.8 m blacktip ""reef"" shark"
1467,27-Jun-2006,2006.0,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Body boarding,F,9,Right calf bitten,N,11h10,
1468,26-Jun-2006,2006.0,Provoked,USA,Florida,Fort Myers,Fishing,M,,Non-swimmer pulled off pier& into the water by a hooked shark PROVOKED INCIDENT,N,Afternoon,
1470,20-Jun-2006,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,22,2-inch puncture wounds on right foot,N,13h00,Possibly a 1' to 3' blacktip or spinner shark
1472,17-Jun-2006,2006.0,Unprovoked,USA,California,"Monterey, Monterey County",Scuba diving,M,43,"No injury, shark bit scuba tank boot",N,11h10,
1473,15-Jun-2006,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Four 1-inch puncture wounds on left foot ,N,15h30,2' to 3' shark
1474,07-Jun-2006,2006.0,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Playing,F,7,Lacerations & puncture wounds to left foot & buttocks,N,13h45,3' to 4' shark
1476,31-May-2006,2006.0,Unprovoked,USA,Hawaii,O'ahu,Spearfishing,M,26,"4"" laceration to left forearm",N,13h30,"Tiger shark, 8' to 12'"
1477,28-May-2006,2006.0,Provoked,USA,Hawaii,French Frigate Shoals,Tagging sharks,,,"No injury to occupants, boat damaged by hooked shark PROVOKED INCIDENT",N,Afternoon,"Tiger shark, 15' female"
1478,27-May-2006,2006.0,Unprovoked,USA,Hawaii,"North Shore, O'ahu",Surfing,M,31,"No injury, shark bumped surfboard",N,16h00,
1479,24-May-2006,2006.0,Provoked,USA,Hawaii,Lanai,Spearfishing,M,15,Knee bitten after diver poked shark PROVOKED INCIDENT,N,16h30,"Grey reef shark, 5' to 8' "
1481,19-May-2006,2006.0,Unprovoked,USA,Guam,Gun Beach,Scuba diving,F,30s,Laceration to leg,N,15h30,"Tiger shark, 10' to 12'"
1482,05-May-2006,2006.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",,M,,Small lacerations to arm,N,12h15,
1483,04-May-2006,2006.0,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Swimming,F,20s,2 lacerations on lower right leg,N,16h30,
1485,Reported      23-Apr-2006,2006.0,Invalid,USA,Florida,"Alligator Reef off Islamorada, Monroe County",,M,,Shark bites post mortem,Unknown,,Invalid
1486,21-Apr-2006,2006.0,Unprovoked,USA,Florida,"Sebastian Inlet, Brevard County",Surfing,M,54,Feet bitten,N,,
1487,19-Apr-2006,2006.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,F,13,3 tiny punctures & small lacerations on right ankle,N,15h00,
1488,13-Apr-2006,2006.0,Provoked,USA,Florida,"Port of the Islands, Collier County",Fishing,M,35,3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,N,Afternoon,"Bull shark, 4' to bull shark"
1492,03-Apr-2006,2006.0,Unprovoked,USA,Florida,"Marco Island, Collier County",Wading,M,11,Minor injury to right hand & thigh,N,12h30,
1494,23-Mar-2006,2006.0,Unprovoked,USA,Hawaii,"Leftovers, near Waimea Bay, O'ahu",Surfing,F,28,5 puncture wounds in left calf,N,11h30,"Tiger shark, 10'  "
1498,27-Feb-2006,2006.0,Unprovoked,USA,Hawaii,"Makena, Maui",Standing,F,15,Deep laceration to right calf,N,16h30,5' to 7' shark
1499,23-Feb-2006,2006.0,Invalid,USA,Hawaii,"Makena, Maui",Free diving,M,45,Forensic examination suggested diver drowned & afterwards his body was bitten by a shark/s,Unknown,Late afternoon,Invalid
1505,01-Feb-2006,2006.0,Boating,USA,Hawaii,"Off Pu'u Ola'l, Makena, Maui",Kayaking,M,57,No injury to occupant; shark bumped the kayak repeatedly for 15 minutes,N,Afternoon,12' to 18' shark
1509,18-Jan-2006,2006.0,Unprovoked,USA,California,"Santa Cruz, Santa Cruz County",Night Surfing,M,,"No injury, but 2 small nicks on wetsuit",N,22h30,
1513,04-Jan-2006,2006.0,Unprovoked,USA,Florida,"Round Island Park, Indian River County",Surfing,M,21,3 puncture wounds in right wrist & hand,N,16h45,4' shark
1515,24-Dec-2005,2005.0,Unprovoked,USA,Oregon,"Tillamook Head, Clatsop County",Surfing,M,30,Lacerations to ankle & calf,N,12h00,White shark
1516,21-Dec-2005,2005.0,Unprovoked,USA,Hawaii,"Keawakapu Beach, Maui",Swimming,M,29,Left hand bitten,N,11h45,Tiger shark
1520,Reported 29-Nov-2005,2005.0,Unprovoked,USA,Florida,"Cape San Blas, Gulf County",Surfing,M,teen,Left foot bitten,N,,
1521,27-Nov-2005,2005.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,23,Right thumb & palm lacerated,N,13h00,4' shark
1526,21-Nov-2005,2005.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Surfing,M,30s,Left foot bitten,N,Afternoon,4' shark
1527,20-Nov-2005,2005.0,Unprovoked,USA,Florida,"New Smyrna  Beach, Volusia County",Surfing,M,17,Lacerations to right thigh,N,14h30,
1530,12-Nov-2005,2005.0,Unprovoked,USA,Florida,"New Smyrna  Beach, Volusia County",Surfing,M,18,Puncture wounds to right foot,N,13h00,6' shark
1531,02-Nov-2005,2005.0,Unprovoked,USA,California,"Mavericks, Half Moon Bay, San Mateo County",Surfing,M,25,"No injury, board bitten",N,16h45,
1532,02-Nov-2005,2005.0,Unprovoked,USA,California,"Ocean Beach, San Francisco, San Francisco County",Surfing,M,26,"No injury, board bumped",N,07h15,12' to 14' white shark
1533,29-Oct-2005,2005.0,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County ",Wading,M,15,Puncture wounds to foot,N,,2' to 3' shark
1536,21-Oct-2005,2005.0,Unprovoked,USA,California,"Klamath River mouth, Del Norte County",Surfing,M,36,No injury,N,11h00,White shark
1537,19-Oct-2005,2005.0,Unprovoked,USA,California,"Salmon Beach, Sonoma County",Surfing,F,20,Leg bitten,N,10h30,18' white shark
1538,15-Oct-2005,2005.0,Provoked,USA,Florida,"Ponce Inlet, Volusia County",Wading,M,15,Minor cuts to dorsum & sole of left foot when he stepped on shark PROVOKED INCIDENT,N,17h55,
1539,13-Oct-2005,2005.0,Unprovoked,USA,Hawaii,"Honokowai, Maui",Surfing,M,22,"No injury, surfboard bitten",N,18h00,"Tiger shark, less than 10'"
1541,06-Oct-2005,2005.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Treading water/ Surfing,M,48,Five 1-inch lacerations to left foot,N,16h05,
1547,22-Sep-2005,2005.0,Invalid,USA,Florida,"Tigertail Beach, Collier County",Surfing,M,,Lacerations to dorsum of left foot,Unknown,07h30,Shark involvement not confirmed
1548,20-Sep-2005,2005.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Body surfing,F,68,"Injuries to fingers, calf  & heel",N,16h30,3' to 4' shark
1549,11-Sep-2005,2005.0,Unprovoked,USA,South Carolina,Folly Beach,Surfing,M,18,FATAL,Y,14h00,
1551,05-Sep-2005,2005.0,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Wading,F,18,Calf severely lacerated,N,15h20,Bull shark
1553,02-Sep-2005,2005.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Standing / Surfing,M,62,Right foot bitten,N,11h10,
1556,24-Aug-2005,2005.0,Unprovoked,USA,California,"Scripps, LaJolla, San Diego County",Surfing,M,37,Lower right leg lacerated,N,11h00,juvenile white shark
1557,22-Aug-2005,2005.0,Invalid,USA,South Carolina,"6th Avenue North, Myrtle Beach, Horry County","Boogie boarding, kicked at object in the water",M,17,"Laceration to knee, possibly by a  small blacktip shark",Unknown,Afternoon,Shark involvement not confirmed
1558,21-Aug-2005,2005.0,Unprovoked,USA,South Carolina,"34th Avenue North, Myrtle Beach, Horry County",Swimming,M,8,Bitten underneath left arm,N,Morning,Possibly a sandbar shark or small blacktip shark
1559,19-Aug-2005,2005.0,Unprovoked,USA,Texas,Crystal Beach (east of Galveston),Walking,M,12,Left foot bitten,N,20h00,
1561,12-Aug-2005,2005.0,Unprovoked,USA,North Carolina,"Carolina Beach off Texas Avenue, New Hanover County",Surfing,M,16,Laceration on right wrist & crescent of puncture wounds on  forearm ,N,11h30,1.8 m [6'] shark
1562,6-Aug-2005,2005.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,14,Puncture wounds on left foot ,N,09h45,
1564,27-Jul-2005,2005.0,Unprovoked,USA,Florida,"Off Zelda Boulevard, Daytona Beach, Volusia Countyy",Wading,F,13,Laceration on the back of left hand & toothmarks on wrist,N,18h00,
1565,23-Jul-2005,2005.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,61,"Right foot: Toes and back of foot, minor injury",N,11h30,
1566,22-Jul-2005,2005.0,Invalid,USA,Florida,"Quarter mile south of Ponce de Leon Inlet, Volusia County",Surfing,M,25,"Straight 2.5"" laceration on top of left ankle",Unknown,11h15,Shark involvement not confirmed
1570,15-Jul-2005,2005.0,Unprovoked,USA,North Carolina,"Holden Beach, Brunswick County",Swimming,M,22,Lacerations of left forearm,N,16h40,[4.5' to 5'] shark
1571,13-Jul-2005,2005.0,Unprovoked,USA,Texas,"Port Bolivar, Galveston County",Holding onto an inflatable boat,F,14,Left foot bitten,N,13h00,[4' to 5']
1572,1-Jul-2005,2005.0,Unprovoked,USA,Florida,"Boca Grande, Lee County",Standing,M,19,Ankle bitten,N,11h30,
1573,27-Jun-2005,2005.0,Unprovoked,USA,Florida,"Cape San Blas, Gulf County",Fishing,M,16,"Leg severely bitten, surgically amputated",N,11h30,Bull shark
1574,25-Jun-2005,2005.0,Unprovoked,USA,Florida,"Destin, Walton County",Swimming with boogie board,F,14,"FATAL, leg bitten",Y,11h15,1.8 m [6'] bull shark
1577,18-Jun-2005,2005.0,Invalid,USA,Hawaii,Maui,Swimming,M,49,"No injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",Unknown,08h00,Invalid
1578,16-Jun-2005,2005.0,Unprovoked,USA,Florida,"Howard E. Futch Memorial Park at Paradise Beach, Brevard County",Swimming,M,20,Foot bitten,N,Afternoon,"Unknown, but it was reported that a shark tooth was recovered from the wound"
1580,07-Jun-2005,2005.0,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Boogie boarding,F,11,Foot lacerated,N,11h30 ,
1581,05-Jun-2005,2005.0,Invalid,USA,New Jersey,"Surf City, Long Beach Island, Ocean County",Surfing,M,17,Dorsum of foot/ankle  injured by surfboard skeg or other inanimate object.,Unknown,11h00,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident"
1583,02-Jun-2005,2005.0,Unprovoked,USA,Texas,"Mustang Island, Corpus Christi",Wading,M,6,Two 2-inch lacerations on right foot,N,Morning,
1584,28-May-2005,2005.0,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,33,Left foot bitten,N,17h30,"""small shark"""
1585,27-May-2005,2005.0,Unprovoked,USA,Florida,"Sand Key Beach, Clearwater, Pinellas County",Crouching in 2' of water,F,,Right arm & torso bitten,N,18h30,"18"" to 36"" shark"
1588,14-May-2005,2005.0,Boating,USA,Hawaii,"North Kihei, Maui",Kayaking,,,"No injury, shark bit kayak",N,11h00,"Tiger shark, 8' to 9' "
1590,02-May-2005,2005.0,Sea Disaster,USA,South Carolina,Off Sullivans Island,Sea Disaster,M,Teens,No injury,N,,
1591,02-May-2005,2005.0,Unprovoked,USA,Hawaii,"Noreiga's, Maui",Surfing,M,47,"No injury, board damaged",N,10h30,"Tiger shark, 3 m [10']"
1596,13-Apr-2005,2005.0,Unprovoked,USA,Florida,"Crescent Beach, Sarasota County",Wading,F,70,Right lower leg bitten,N,,1.8 m [6'] blacktip shark
1597,09-Apr-2005,2005.0,Invalid,USA,Florida,"Central Gulf Coast, St. John County",Surfing,M,52,Foot injured ,Unknown,,Shark involvement not confirmed
1598,07-Apr-2005,2005.0,Unprovoked,USA,Texas,"Isla Blanca Park, South Padre Island, Cameron County",Surfing,M,37,Left foot bitten ,N,19h00,
1599,06-Apr-2005,2005.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,F,,Left calf injured,N,,small hammerhead shark
1605,12-Mar-2005,2005.0,Provoked,USA,New Mexico,"Albuquerue Aquarium, Albuquerue",Diving in aquarium display tank,M,45,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N,15h30,"Sandtiger shark, 2.1 m [7'] "
1610,22-Feb-2005,2005.0,Provoked,USA,Florida,"Long Key, Monroe County",Spearfishing,M,,Speared shark bit his chest PROVOKED INCIDENT,N,,"Nurse shark, 3' "
1611,16-Feb-2005,2005.0,Unprovoked,USA,Hawaii,"Rocky Point, north shore of O'ahu",Surfing,M,,"No injury, knocked off board, shark bit board",N,14h30,"Tiger shark, 2.4 m [8']"
1612,13-Feb-2005,2005.0,Unprovoked,USA,Florida,Fort Lauderdale,Spearfishing,M,,Hand bitten,N,,1.8 m [6'] Caribbean reef shark
1624,11-Nov-2004,2004.0,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,lli,38,"Lacerations to hand, knee & thigh ",N,13h30,5.5 m [18'] white shark
1631,10-Oct-2004,2004.0,Unprovoked,USA,California,"Limantour Beach, Point Reyes National Seashore",Surfing,M,,Lower leg bitten,N,09h30,1.8 m to 2.4 m [6' to 8'] white shark
1632,09-Oct-2004,2004.0,Unprovoked,USA,Hawaii,Moloka'i,Spearfishing,M,34,Left shoulder bitten,N,12h40,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] "
1635,02-Oct-2004,2004.0,Unprovoked,USA,California,"Pismo Beach, San Luis Obispo County",Surfing,M,16,"No injury, knocked off surfboard",N,15h30,
1636,01-Oct-2004,2004.0,Unprovoked,USA,California,"Lifeguard Tower 16, Huntington Beach, Orange County",Surfing,M,40,"No injury, shark struck board & spun it around",N,14h00,
1638,20-Sep-2004,2004.0,Unprovoked,USA,Oregon,Gold  Beach,Surfing,M,26,Leg bitten,N,09h00,White shark
1639,10-Sep-2004,2004.0,Invalid,USA,Texas,South Padre Island,Surf fishing,M,,Minor scratch on calf,Unknown,Between 05h00 and 08h00,Shark involvement questionable
1641,04-Sep-2004,2004.0,Unprovoked,USA,South Carolina ,"North of Apache Pier, Myrtle Beach, Horry County",Jumping,F,17,Left knee & leg bitten,N,15h40,2.4 m [8'] shark
1642,29-Aug-2004,2004.0,Unprovoked,USA,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Walking,F,38,Heel bitten,N,17h30,
1644,20-Aug-2004,2004.0,Unprovoked,USA,California,"204s, San Clemente, Orange County",Surfing,M,,Foot bitten,N,17h30,0.9 m to 1.2 m [3' to 4'] white shark
1645,15-Aug-2004,2004.0,Unprovoked,USA,California,"Kibesillah, Mendocino County",Diving,M,50,FATAL,Y,16h00,4.9 m to 5.5 m [16' to 18'] white shark
1646,06-Aug-2004,2004.0,Unprovoked,USA,Florida,"Big Bayou, St. Petersburg, Pinellas County ",Swimming,M,47,"Back, buttocks, left hand & left side of face bitten",N,20h30,1.2 m [4'] shark
1649,31-Jul-2004,2004.0,Unprovoked,USA,Florida,"Cocoa  Beach, Brevard County",Surfing,F,20,Right foot bitten,N,13h00,
1651,28-Jul-2004,2004.0,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Surfing,F,28,Right calf bitten,N,17h30,
1652,27-Jul-2004,2004.0,Unprovoked,USA,North Carolina,"Carolina Beach, New Hanover County",Swimming,F,13,Right forearm & wrist lacerated,N,17h00,1.8 m [6'] shark
1653,27-Jul-2004,2004.0,Unprovoked,USA,Texas,Galveston Island,Swimming,F,19,Right foot bitten,N,16h30,1.2 m to 1.5 m [4' to 5'] shark
1654,25-Jul-2004,2004.0,Unprovoked,USA,Texas,"Bryan Beach, Brazoria County",Wading / fishing & carrying a bag of fish,M,11,Right forearm nearly severed and bites above & below the right knee,N,19h30,Bull shark
1659,02-Jul-2004,2004.0,Unprovoked,USA,Alabama,"Gulf Shores Beach, Baldwin County",Wading,M,7,Right foot lacerated,N,16h40,4' to 5' shark
1660,26-Jun-2004,2004.0,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,45,"No injury, shark struck his board",N,09h00,"9'2"" white shark"
1662,14-Jun-2004,2004.0,Unprovoked,USA,Florida,"Disney / Vero Beach, Indian River County",In water with diving seabirds,F,,Foot bitten,N,,
1664,10-Jun-2004,2004.0,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,8,Right wrist  & left arm lacerated,N,18h00,1.2 m [4'] shark
1666,29-May-2004,2004.0,Unprovoked,USA,Texas,"Pirate's Beach, Galveston Island",Wading,M,16,Puncture wounds on shin,N,19h45,0.9 m to 1.5 m [3' to 5'] shark
1668,28-May-2004,2004.0,Unprovoked,USA,California,"Salmon Creek, Sonoma County",Surfing,M,44,No injury,N,11h00,2.4 m to 3.7 m [8' to 12'] shark
1669,23-May-2004,2004.0,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Boogie-boarding / swimming,M,9,Calf & foot lacerated,N,12h30,
1670,22-May-2004,2004.0,Invalid,USA,Florida,St. Augustine  St. Johns County,Swimming,M,9,Single puncture wound on the foot,Unknown,,Shark involvement not confirmed
1671,22-May-2004,2004.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,F,9,Foot bitten,N,Afternoon,
1674,04-May-2004,2004.0,Unprovoked,USA,Texas,Channel between South Padre Island & Padre Island National Seashore,Tandem surfing,M,28,"No injury, board bitten",N,16h30,"Mako shark, 1.8 m [6']"
1680,07-Apr-2004,2004.0,Unprovoked,USA,Hawaii,"Kahana Beach, Maui",Surfing,M,57,FATAL Severe wound to right thigh & calf,Y,07h08,Tiger shark
1682,04-Apr-2004,2004.0,Invalid,USA,Hawaii,Velzyland,Surfing,F,22,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement ",Unknown,,Shark involvement prior to death was not confirmed
1683,31-Mar-2004,2004.0,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",,M,26,Right foot bitten,N,,
1684,31-Mar-2004,2004.0,Unprovoked,USA,Florida,"Stuart Rocks, Martin County",Surfing,M,20,15 puncture wounds on foot,N,09h00,1.2 m [4'] bull shark
1686,28-Mar-2004,2004.0,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Surfing,M,,Heel bitten,N,15h00,bull shark
1688,27-Mar-2004,2004.0,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Swimming,M,61,Minor lacerations & abrasions on forearm,N,08h30,
1689,14-Mar-2004,2004.0,Unprovoked,USA,Hawaii,Punaluu,Snorkeling,F,,Lacerations to left foot,N,10h00,1.8 m [6'] shark
1691,16-Mar-2004,2004.0,Unprovoked,USA,Hawaii,"Kalihiwai Beach, Kauai",Surfing,M,51,"No injury, board bitten",N,07h45,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
1711,26-Dec-2003,2003.0,Invalid,USA,Florida,"Miami, Dade County",Swimming,M,28,Knee lacerated,Unknown,,Questionable Incident
1712,13-Dec-2003,2003.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,13,Foot bitten,N,13h15,
1718,22-Nov-2003,2003.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,F,35,Severe abrasion to left lateral calf,N,15h30,4' shark
1720,12-Nov-2003,2003.0,Unprovoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to hand,N,,
1725,31-Oct-2003,2003.0,Unprovoked,USA,Florida,"Ponte Vedra Beach, St. Johns County",Surfing,M,18,Left foot (sole) bitten,N,15h00,1.2 m to 1.5 m [4' to 5'] shark
1727,31-Oct-2003,2003.0,Unprovoked,USA,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",Surfing,F,13,Left arm severed below shoulder,N,07h30,"Tiger shark, 14' "
1728,27-Oct-2003,2003.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,46,Laceration on right ankle & heel,N,12h20,
